depth_mm,MC_dose_raw,MC_PDD_norm,microDiamond_dose_raw,microDiamond_PDD_norm,microDiamond_dev_%,PinPoint_dose_raw,PinPoint_PDD_norm,PinPoint_dev_%,Semiflex_dose_raw,Semiflex_PDD_norm,Semiflex_dev_%
54,74.02,78.2742,3.9258,78.727,0.5785,2.8185,79.4839,1.5455,0.5948,80.0186,2.2285
55,74.084,78.3419,3.9054,78.3179,-0.0306,2.8125,79.3147,1.2418,0.5899,79.3621,1.3022
56,74.126,78.3863,3.8676,77.5599,-1.0543,2.781,78.4264,0.0512,0.5864,78.8926,0.6459
57,73.188,77.3944,3.8376,76.9582,-0.5635,2.754,77.665,0.3496,0.583,78.4231,1.3291
58,72.975,77.1691,3.8208,76.6213,-0.7099,2.742,77.3266,0.204,0.5809,78.1419,1.2606
59,71.59,75.7045,3.7728,75.6588,-0.0605,2.7375,77.1997,1.9749,0.576,77.4854,2.3524
60,71.206,75.2985,3.7578,75.358,0.079,2.7225,76.7766,1.9631,0.5725,77.0172,2.2826
61,70.908,74.9833,3.7554,75.3098,0.4354,2.694,75.9729,1.3197,0.5697,76.6419,2.2119
62,70.247,74.2844,3.7302,74.8045,0.7002,2.67,75.2961,1.362,0.5662,76.1724,2.5417
63,70.567,74.6227,3.6942,74.0825,-0.7239,2.661,75.0423,0.5622,0.562,75.6101,1.3231
64,70.844,74.9157,3.7038,74.2751,-0.8551,2.6535,74.8308,-0.1133,0.5592,75.2348,0.4259
