depth_mm,MC_dose_raw,MC_PDD_norm,microDiamond_dose_raw,microDiamond_PDD_norm,microDiamond_dev_%,PinPoint_dose_raw,PinPoint_PDD_norm,PinPoint_dev_%,Semiflex_dose_raw,Semiflex_PDD_norm,Semiflex_dev_%
120,48.998,51.8141,2.5794,51.7266,-0.1688,1.863,52.5381,1.3973,0.3961,53.2825,2.834
121,48.124,50.8899,2.5674,51.486,1.1714,1.8555,52.3266,2.8232,0.3933,52.9085,3.9667
122,47.293,50.0111,2.5404,50.9445,1.8664,1.8435,51.9882,3.9532,0.3898,52.439,4.8547
123,47.506,50.2363,2.5362,50.8603,1.242,1.8285,51.5651,2.6451,0.3884,52.2507,4.0097
124,47.783,50.5293,2.5326,50.7881,0.5123,1.8165,51.2267,1.3803,0.3856,51.8753,2.6639
125,47.208,49.9212,2.5062,50.2587,0.676,1.812,51.0998,2.3609,0.3842,51.6883,3.5398
126,47.016,49.7182,2.4894,49.9218,0.4095,1.8045,50.8883,2.3535,0.3814,51.313,3.2077
127,46.739,49.4253,2.4696,49.5247,0.2012,1.776,50.0846,1.334,0.3786,50.9377,3.06
128,46.526,49.2,2.4636,49.4044,0.4154,1.758,49.577,0.7662,0.3772,50.7507,3.1517
129,46.718,49.4031,2.4522,49.1758,-0.46,1.7595,49.6193,0.4377,0.3745,50.3753,1.9681
130,45.375,47.9829,2.4402,48.9351,1.9846,1.749,49.3232,2.7933,0.3731,50.187,4.5936
131,46.462,49.1323,2.4072,48.2734,-1.7483,1.731,48.8156,-0.6447,0.371,49.9058,1.5743
132,45.695,48.3213,2.4042,48.2132,-0.2236,1.728,48.731,0.8479,0.3682,49.5305,2.5025
133,45.311,47.9152,2.376,47.6477,-0.5583,1.719,48.4772,1.1728,0.3661,49.2493,2.7844
134,44.928,47.5102,2.3694,47.5153,0.0109,1.716,48.3926,1.8572,0.3633,48.874,2.8706
135,44.267,46.8112,2.358,47.2867,1.0159,1.7055,48.0964,2.7456,0.3612,48.5928,3.806
136,44.246,46.789,2.34,46.9258,0.2923,1.6935,47.758,2.0711,0.3591,48.3117,3.2544
137,44.246,46.789,2.3382,46.8897,0.2152,1.68,47.3773,1.2574,0.3563,47.9363,2.4522
138,43.798,46.3152,2.3106,46.3362,0.0452,1.6665,46.9966,1.4712,0.3542,47.6552,2.8931
139,43.436,45.9324,2.3022,46.1677,0.5123,1.6575,46.7428,1.7643,0.3528,47.4668,3.3406
140,43.073,45.5486,2.283,45.7827,0.514,1.656,46.7005,2.529,0.3508,47.1857,3.5942
141,43.009,45.4809,2.2788,45.6985,0.4784,1.638,46.1929,1.5655,0.3487,46.9045,3.1302
142,42.327,44.7597,2.253,45.1811,0.9415,1.6215,45.7276,2.1624,0.3466,46.6233,4.1637
143,41.944,44.3547,2.2272,44.6637,0.6967,1.611,45.4315,2.4277,0.3438,46.248,4.2686
144,42.072,44.49,2.2236,44.5915,0.2281,1.6125,45.4738,2.2111,0.3424,46.0597,3.5281
145,42.114,44.5344,2.2146,44.411,-0.2771,1.602,45.1777,1.4443,0.3403,45.7785,2.7935
146,41.837,44.2415,2.2008,44.1343,-0.2424,1.593,44.9239,1.5423,0.3382,45.4973,2.8386
147,41.496,43.8809,2.1864,43.8455,-0.0807,1.5765,44.4585,1.3163,0.3361,45.2162,3.0429
148,41.262,43.6335,2.1774,43.665,0.0723,1.5645,44.1201,1.1153,0.3347,45.0278,3.1956
149,40.537,42.8668,2.1678,43.4725,1.413,1.563,44.0778,2.8251,0.3319,44.6525,4.1657
150,40.921,43.2729,2.1516,43.1476,-0.2894,1.551,43.7394,1.0781,0.3298,44.3714,2.5385
151,39.983,42.281,2.1324,42.7626,1.1391,1.5435,43.5279,2.9492,0.3277,44.0902,4.279
152,39.706,41.9881,2.1198,42.5099,1.2429,1.533,43.2318,2.9622,0.3263,43.9018,4.558
153,39.642,41.9204,2.1114,42.3415,1.0045,1.53,43.1472,2.9266,0.325,43.7149,4.2807
154,39.194,41.4466,2.1072,42.2572,1.9558,1.518,42.8088,3.2866,0.3229,43.4337,4.7943
155,39.535,41.8072,2.091,41.9324,0.2994,1.503,42.3858,1.3839,0.3201,43.0584,2.9926
156,39.152,41.4022,2.067,41.4511,0.1181,1.4985,42.2589,2.0691,0.3187,42.87,3.5452
157,39.365,41.6275,2.058,41.2706,-0.8572,1.4835,41.8359,0.5007,0.3159,42.4947,2.0833
158,38.619,40.8386,2.037,40.8495,0.0267,1.482,41.7936,2.3385,0.3159,42.4947,4.0553
159,37.98,40.1629,2.0424,40.9578,1.9792,1.464,41.286,2.7964,0.3131,42.1194,4.8714
160,38.129,40.3204,2.0238,40.5848,0.6556,1.464,41.286,2.3947,0.3117,41.9324,3.9978
161,37.617,39.779,2.007,40.2479,1.1787,1.4505,40.9052,2.8313,0.3089,41.557,4.4698
162,37.553,39.7113,1.9956,40.0193,0.7755,1.4535,40.9898,3.2196,0.3075,41.37,4.177
163,37.553,39.7113,1.9896,39.8989,0.4725,1.44,40.6091,2.2609,0.3054,41.0875,3.4655
164,37.766,39.9366,1.9686,39.4778,-1.1487,1.4325,40.3976,1.1545,0.304,40.9005,2.4138
165,36.978,39.1033,1.9602,39.3093,0.527,1.4205,40.0592,2.4447,0.3019,40.6194,3.8772
166,36.488,38.5851,1.959,39.2853,1.8146,1.419,40.0169,3.7108,0.2992,40.244,4.2994
167,36.573,38.675,1.9422,38.9484,0.7069,1.4085,39.7208,2.7041,0.2971,39.9629,3.33
168,36.488,38.5851,1.926,38.6235,0.0995,1.3995,39.467,2.2856,0.2964,39.8687,3.3267
169,35.976,38.0437,1.9116,38.3347,0.7651,1.386,39.0863,2.7406,0.2957,39.7745,4.5497
170,35.848,37.9083,1.9074,38.2505,0.9027,1.3785,38.8748,2.5495,0.2929,39.3992,3.9329
171,35.891,37.9538,1.8912,37.9256,-0.0742,1.3665,38.5364,1.535,0.2908,39.118,3.0675
172,35.699,37.7508,1.8792,37.685,-0.1742,1.365,38.4941,1.969,0.2901,39.0239,3.3724
173,35.273,37.3003,1.866,37.4203,0.3218,1.3515,38.1134,2.1799,0.288,38.7427,3.8671
174,35.337,37.3679,1.8468,37.0353,-0.8903,1.3395,37.775,1.0892,0.2866,38.5557,3.1786
175,34.868,36.872,1.8426,36.951,0.2144,1.329,37.4788,1.6458,0.2845,38.2732,3.8002
176,34.655,36.6468,1.8348,36.7946,0.4035,1.3275,37.4365,2.1552,0.2831,38.0862,3.9279
177,34.974,36.9841,1.824,36.578,-1.0979,1.326,37.3942,1.109,0.281,37.805,2.2198
178,34.143,36.1053,1.8054,36.205,0.2762,1.311,36.9712,2.3983,0.2796,37.6167,4.186
179,34.015,35.97,1.7976,36.0486,0.2186,1.317,37.1404,3.254,0.2775,37.3355,3.7964
180,33.973,35.9256,1.7916,35.9283,0.0076,1.302,36.7174,2.2042,0.2761,37.1485,3.4042
181,33.333,35.2488,1.7718,35.5312,0.8013,1.293,36.4636,3.4465,0.274,36.866,4.5881
182,32.95,34.8438,1.7718,35.5312,1.973,1.2855,36.2521,4.0419,0.2726,36.679,5.2672
183,33.205,35.1134,1.7496,35.086,-0.078,1.275,35.956,2.3996,0.2713,36.492,3.9262
184,32.886,34.7761,1.7424,34.9416,0.4761,1.275,35.956,3.3929,0.2699,36.3037,4.3928
185,33.056,34.9559,1.7328,34.7491,-0.5914,1.2615,35.5753,1.7721,0.2678,36.0225,3.0516
186,32.63,34.5054,1.7226,34.5446,0.1136,1.2495,35.2369,2.12,0.2671,35.9284,4.124
187,32.31,34.167,1.7196,34.4844,0.9291,1.2435,35.0677,2.6362,0.265,35.6472,4.3324
188,32.225,34.0771,1.7016,34.1235,0.136,1.23,34.687,1.7897,0.2629,35.3661,3.7825
189,32.246,34.0993,1.6914,33.9189,-0.529,1.227,34.6024,1.4753,0.2622,35.2719,3.4387
190,31.927,33.762,1.683,33.7505,-0.0341,1.2255,34.5601,2.3639,0.2601,34.9907,3.6395
191,31.5,33.3104,1.6698,33.4857,0.5263,1.212,34.1794,2.6086,0.2587,34.8024,4.4789
192,31.692,33.5135,1.6746,33.582,0.2045,1.2045,33.9679,1.3559,0.2573,34.6154,3.288
193,31.479,33.2882,1.6674,33.4376,0.4488,1.1955,33.714,1.2792,0.2566,34.5212,3.704
194,31.117,32.9054,1.65,33.0887,0.557,1.1895,33.5448,1.9432,0.2552,34.3342,4.3422
195,30.733,32.4993,1.635,32.7879,0.8878,1.1775,33.2064,2.1757,0.2538,34.1459,5.0664
196,30.627,32.3872,1.6266,32.6194,0.7169,1.179,33.2487,2.6599,0.251,33.7705,4.2711
197,30.477,32.2286,1.6194,32.475,0.7646,1.17,32.9949,2.3777,0.2503,33.6777,4.4963
